group,names,scores,logfoldchanges,pvals,pvals_adj
CD8 T cells,BLZF1,8.545911,,1.2752616231479411e-17,1.8892764787376905e-16
CD8 T cells,LZTS2,8.522856,-0.13213314,1.556672374484167e-17,2.2892240801237747e-16
CD8 T cells,TRIP11,8.517768,,1.6265729374956072e-17,2.3745590328403023e-16
CD8 T cells,RFC5,8.499225,,1.9086042507114284e-17,2.7660931169730844e-16
CD8 T cells,FAM154B,8.492415,0.55944574,2.0238673136866007e-17,2.911728417996646e-16
CD8 T cells,ANKRA2,8.491594,,2.0382098925976523e-17,2.911728417996646e-16
CD8 T cells,HDAC1,8.484538,,2.165768645672781e-17,3.0720122633656473e-16
CD8 T cells,SAAL1,8.480271,6.1670423,2.246685177584599e-17,3.164345320541689e-16
CD8 T cells,FN3KRP,8.478467,,2.2818103885271775e-17,3.187107039254098e-16
CD8 T cells,SMU1,8.466036,,2.5388517819793318e-17,3.467142228780174e-16
CD8 T cells,IFIT5,8.464765,,2.5667081462807945e-17,3.467142228780174e-16
CD8 T cells,PLRG1,8.4642315,,2.578479390769979e-17,3.467142228780174e-16
CD8 T cells,ARL6,8.464026,1.0445431,2.5830209604412296e-17,3.467142228780174e-16
CD8 T cells,C19orf77,8.464026,-7.2864184,2.5830209604412296e-17,3.467142228780174e-16
CD8 T cells,ANKAR,8.462877,-2.6846678,2.6085999741366743e-17,3.4781332988488993e-16
CD8 T cells,POLR3E,8.458939,,2.698211272394742e-17,3.5737897647612475e-16
CD8 T cells,TXNRD3,8.448273,0.74366766,2.9564440178701877e-17,3.890057918250247e-16
CD8 T cells,GPATCH4,8.433258,,3.3617354831817425e-17,4.365890237898367e-16
CD8 T cells,ACTR6,8.431781,,3.404444356660688e-17,4.392831427949275e-16
CD8 T cells,EGLN3,8.430181,-1.1521688,3.451316432733242e-17,4.4247646573503105e-16
CD8 T cells,SRPK1,8.407577,,4.185703052309854e-17,5.332105799120833e-16
CD8 T cells,RIOK1,8.3899355,,4.86408274602808e-17,6.0801034325351e-16
CD8 T cells,MED27,8.385669,,5.0438027776486704e-17,6.265593512607043e-16
CD8 T cells,FAM212A,8.381567,2.047435,5.2227812600037244e-17,6.447878098770029e-16
CD8 T cells,TMX3,8.376562,,5.4496352152544287e-17,6.686668975772305e-16
CD8 T cells,CCDC25,8.370326,,5.745908792883744e-17,6.922781678173185e-16
CD8 T cells,LYSMD4,8.326101,1.6167158,8.35482268061367e-17,9.88736411906943e-16
CD8 T cells,STT3A,8.322163,,8.637236851617306e-17,1.0161455119549772e-15
CD8 T cells,MMD,8.314204,,9.236990761886588e-17,1.0803497967118815e-15
CD8 T cells,NDUFAF4,8.313302,,9.307544258360225e-17,1.0822725881814217e-15
CD8 T cells,NUP54,8.299026,,1.0496909598580379e-16,1.2115505949579668e-15
CD8 T cells,GIMAP7,8.287703,,1.1545699607647555e-16,1.3120113190508587e-15
CD8 T cells,AL928742.12,8.284338,-0.038293343,1.1876744886750019e-16,1.3420050719491548e-15
CD8 T cells,POLD2,8.2804,,1.2276216630862422e-16,1.379350183242969e-15
CD8 T cells,AAR2,8.275395,5.580946,1.2803041814283832e-16,1.4305074652831099e-15
CD8 T cells,TOB1,8.264729,,1.400128375425112e-16,1.5556981949167913e-15
CD8 T cells,CBX5,8.255375,,1.5142595461676347e-16,1.6732149681410328e-15
CD8 T cells,ZCCHC9,8.25037,,1.5790478071321485e-16,1.7352173704748884e-15
CD8 T cells,BIK,8.2415905,3.1430304,1.699358873440705e-16,1.8572228125035027e-15
CD8 T cells,PCP2,8.232237,1.1569244,1.837489424228506e-16,1.9864750532200067e-15
CD8 T cells,MRPL42,8.228791,,1.8911218680813253e-16,2.033464374280995e-15
CD8 T cells,SRM,8.210166,,2.2088294058818703e-16,2.3498185168956066e-15
CD8 T cells,ZNF428,8.2015505,,2.373055274850951e-16,2.497952920895738e-15
CD8 T cells,COG4,8.195028,,2.5053501613826173e-16,2.62340331034829e-15
CD8 T cells,USP5,8.166926,,3.163466001915375e-16,3.295277085328516e-15
CD8 T cells,UNC45A,8.165408,,3.20350154225291e-16,3.3196907173605286e-15
CD8 T cells,LIN52,8.14026,0.20176966,3.9442960854021097e-16,4.045431882463702e-15
CD8 T cells,DIMT1,8.119584,,4.677853940527798e-16,4.773320347477345e-15
CD8 T cells,MRM1,8.108753,,5.114178797928745e-16,5.192059693328675e-15
CD8 T cells,ACTL6A,8.105964,,5.232912680067729e-16,5.285770383906796e-15
CD8 T cells,ANKRD18A,8.098004,0.6306283,5.586786726829562e-16,5.6148610319895085e-15
CD8 T cells,ZBTB10,8.077739,,6.597881704807162e-16,6.5650564226936934e-15
CD8 T cells,PDCD2L,8.067072,,7.200393308085093e-16,7.129102285232765e-15
CD8 T cells,C14orf1,8.05936,,7.669514410819106e-16,7.556171833319316e-15
CD8 T cells,CITED4,8.046478,,8.521074451297569e-16,8.353994560095656e-15
CD8 T cells,SLC40A1,8.041308,,8.888392675126691e-16,8.629507451579313e-15
CD8 T cells,CAMK2G,8.030314,,9.722331219297189e-16,9.393556733620473e-15
CD8 T cells,MYCBP2,8.023422,,1.0283919626005423e-15,9.840129452369261e-15
CD8 T cells,LITAF,8.020551,,1.0527238141142806e-15,9.978424778334413e-15
CD8 T cells,DHX8,8.018745,,1.068307480782724e-15,1.0078372460214379e-14
CD8 T cells,EHMT2,8.017022,,1.0833947023545149e-15,1.0172720209901549e-14
CD8 T cells,ARMCX5,7.992654,0.8671339,1.3206471882817136e-15,1.2342497086744987e-14
CD8 T cells,PPP1R14B,7.978049,,1.4866445172162736e-15,1.3783535075656448e-14
CD8 T cells,LIG1,7.977885,,1.4886217881708964e-15,1.3783535075656448e-14
CD8 T cells,PEX19,7.9709926,,1.5740479128739348e-15,1.4440806540127842e-14
CD8 T cells,TBC1D15,7.964347,,1.6609891046382445e-15,1.51688502706689e-14
CD8 T cells,TNFRSF21,7.9538445,-1.1334119,1.808111327915348e-15,1.6437375708321346e-14
CD8 T cells,TRIM58,7.932758,,2.1433216122213116e-15,1.9222615356244948e-14
CD8 T cells,NDUFA5,7.907979,,2.6160099425231926e-15,2.3253421711317268e-14
CD8 T cells,CGRRF1,7.8954253,,2.8932657585263894e-15,2.56041217568707e-14
CD8 T cells,LTV1,7.884595,,3.155573646059663e-15,2.7680470579470727e-14
CD8 T cells,METTL8,7.8780313,,3.325801402603163e-15,2.904630045941627e-14
CD8 T cells,RP11-509J21.2,7.853006,0.675931,4.0618210045248e-15,3.5320182648041736e-14
CD8 T cells,FKBP3,7.844555,,4.344915231394664e-15,3.761831369172869e-14
CD8 T cells,ZNF195,7.836678,,4.626214256918208e-15,3.970999362161552e-14
CD8 T cells,AP3M1,7.811571,,5.647942058079133e-15,4.827300904341139e-14
CD8 T cells,KLHL24,7.8059916,,5.903538311962656e-15,5.024287925074601e-14
CD8 T cells,TNFRSF25,7.802546,,6.06705930186098e-15,5.141575679543204e-14
CD8 T cells,IDUA,7.7932744,-1.7843447,6.529468292767739e-15,5.5100998251204554e-14
CD8 T cells,RASD1,7.791059,1.9032725,6.644991005014646e-15,5.5840260546341563e-14
CD8 T cells,UBAC2,7.787449,,6.837575013344349e-15,5.721820094848828e-14
CD8 T cells,SYNE2,7.7817874,,7.150697680594137e-15,5.958914733828448e-14
CD8 T cells,BUB3,7.7685776,,7.937245845711934e-15,6.58692601303895e-14
CD8 T cells,ZNF468,7.766567,,8.064176524423657e-15,6.664608697870791e-14
CD8 T cells,TMEM229B,7.7497473,3.1172152,9.207567937456643e-15,7.578245216013698e-14
CD8 T cells,DHX9,7.7256656,,1.1127024137879641e-14,9.083285010513993e-14
CD8 T cells,DIS3,7.722302,,1.1424753656357734e-14,9.288417606794905e-14
CD8 T cells,ZNF559,7.71623,0.59184366,1.1982090641803242e-14,9.702097685670641e-14
CD8 T cells,PGRMC2,7.7138505,,1.2207729033510001e-14,9.844942768959679e-14
CD8 T cells,XRCC5,7.7003946,,1.3564666235911896e-14,1.0895314245712366e-13
CD8 T cells,TMEM87B,7.698097,0.73075706,1.381072528516157e-14,1.1004561980208422e-13
CD8 T cells,ZNF747,7.690713,,1.4631752033197848e-14,1.1612501613649085e-13
CD8 T cells,TUBA4A,7.6888256,,1.4849159956701117e-14,1.173846636893369e-13
CD8 T cells,WTAP,7.684313,,1.5382018797635445e-14,1.21118258249098e-13
CD8 T cells,TGFBR3L,7.6737285,0.21626446,1.6706731380765353e-14,1.3103318730012041e-13
CD8 T cells,ORAI1,7.6728263,,1.6824751199732962e-14,1.3144336874791377e-13
CD8 T cells,USP25,7.671431,,1.7008760611564765e-14,1.3210416865134273e-13
CD8 T cells,TNFRSF13B,7.671185,,1.7041437756023212e-14,1.3210416865134273e-13
CD8 T cells,RNF113A,7.6443963,,2.0992827589526492e-14,1.6210677675310032e-13
CD8 T cells,AEBP1,7.638119,1.475262,2.2041755133604546e-14,1.695519625661888e-13
CD8 T cells,GGA2,7.634017,,2.275501330924233e-14,1.7436791807848528e-13
CD8 T cells,ACADM,7.626386,,2.4142568275790818e-14,1.8429441431901388e-13
CD8 T cells,EIF5B,7.6247454,,2.445166677834383e-14,1.859442340558466e-13
CD8 T cells,GOLT1B,7.6122737,,2.6931519144603356e-14,2.0402666018638906e-13
CD8 T cells,RFC1,7.6085815,,2.771202160419532e-14,2.0914733286185146e-13
CD8 T cells,KRBOX4,7.5918436,,3.1538556086762455e-14,2.3536235885643623e-13
CD8 T cells,CD84,7.5843773,,3.340881037803975e-14,2.483926422159089e-13
CD8 T cells,SMCHD1,7.5784698,,3.496548376563105e-14,2.5900358344911883e-13
CD8 T cells,RGS1,7.5719056,,3.677885380943638e-14,2.714306554201947e-13
CD8 T cells,ELP6,7.551147,,4.314408003932563e-14,3.166718570249349e-13
CD8 T cells,RBM4,7.549506,,4.369114627794066e-14,3.1891347648131865e-13
CD8 T cells,DDX54,7.5435987,,4.571765264551682e-14,3.3191352558139287e-13
CD8 T cells,PIK3R1,7.5433526,,4.580406653023222e-14,3.3191352558139287e-13
CD8 T cells,PRF1,7.5351477,,4.8778262482972446e-14,3.521896208156855e-13
CD8 T cells,MRPL9,7.5317836,,5.005185170563073e-14,3.600852640692858e-13
CD8 T cells,SCFD1,7.5277634,,5.1616884629373354e-14,3.70013509887981e-13
CD8 T cells,RP11-70P17.1,7.5156198,,5.664188003369018e-14,4.0314505362057063e-13
CD8 T cells,NOL11,7.5047073,,6.156596142163299e-14,4.3663802426690065e-13
CD8 T cells,MEOX1,7.495682,0.9239946,6.595451870955594e-14,4.644684416165912e-13
CD8 T cells,TXNDC5,7.4951897,-2.1952446,6.620254355747211e-14,4.64579253034892e-13
CD8 T cells,HDDC3,7.490841,,6.843362939642676e-14,4.785568489260613e-13
CD8 T cells,SPG20,7.48879,,6.951152477528016e-14,4.844008695141475e-13
CD8 T cells,SEPT11,7.4835386,,7.234757213398037e-14,5.024136953748637e-13
CD8 T cells,PIGU,7.4794364,,7.464209955931435e-14,5.16554322209788e-13
CD8 T cells,ZNF45,7.4700828,3.9668648,8.014445830639617e-14,5.52720402113077e-13
CD8 T cells,DOCK10,7.4679494,,8.145416034660426e-14,5.598224078804417e-13
CD8 T cells,EGFL7,7.450473,0.5213748,9.300623256369932e-14,6.305507292454192e-13
CD8 T cells,IL16,7.449488,,9.370293013585651e-14,6.331279063233549e-13
CD8 T cells,PRPF18,7.4474373,,9.517089927169605e-14,6.408814765770778e-13
CD8 T cells,UQCC1,7.440955,5.1480765,9.995983318206835e-14,6.708713636380426e-13
CD8 T cells,KLRG1,7.43554,,1.0414166928879933e-13,6.965997945739086e-13
CD8 T cells,GDPD1,7.4315195,,1.0735711941647218e-13,7.157141294431479e-13
CD8 T cells,REXO2,7.4244633,,1.1323810352655435e-13,7.524126480169724e-13
CD8 T cells,NOP58,7.4157662,,1.209237236556099e-13,7.98176393766402e-13
CD8 T cells,ZNF32,7.4069867,,1.2920124975597135e-13,8.50008222078759e-13
CD8 T cells,MALT1,7.406002,5.086409,1.3016359771841775e-13,8.535317883174935e-13
CD8 T cells,PWP1,7.3945975,,1.4183730635232689e-13,9.240215397545727e-13
CD8 T cells,ZFYVE28,7.371952,,1.6814771292776457e-13,1.0846692504946967e-12
CD8 T cells,PEX26,7.3715415,,1.6866606845192531e-13,1.0846692504946967e-12
CD8 T cells,SLFN5,7.364321,,1.7805037128363866e-13,1.1413485338694786e-12
CD8 T cells,SCT,7.3593163,,1.8485453133476004e-13,1.1774173970366882e-12
CD8 T cells,STMN1,7.344055,,2.0721764062153585e-13,1.315667559501815e-12
CD8 T cells,ENTPD3-AS1,7.342086,1.5448756,2.1029020500818705e-13,1.3309506646087787e-12
CD8 T cells,GADD45G,7.3143535,-2.379373,2.5862371938552466e-13,1.6265642728649349e-12
CD8 T cells,LARS,7.30861,,2.699200532260602e-13,1.6870003326628762e-12
CD8 T cells,TERF2IP,7.305,,2.7726720252752845e-13,1.7275215110749437e-12
CD8 T cells,USP33,7.300241,,2.872528949354208e-13,1.7841794716485764e-12
CD8 T cells,YTHDF2,7.2949076,,2.9886382121315457e-13,1.8505499765520404e-12
CD8 T cells,EIF2B1,7.2893286,,3.115039350408189e-13,1.9228637965482645e-12
CD8 T cells,LAMP5,7.254991,,4.016890746710483e-13,2.4643501513561244e-12
CD8 T cells,PPA2,7.2430525,,4.3869644031395616e-13,2.683158656354472e-12
CD8 T cells,PRPF31,7.235586,,4.635226243931538e-13,2.8177667136361933e-12
CD8 T cells,MLLT10,7.231976,,4.76016215619186e-13,2.8849467613283995e-12
CD8 T cells,ALG5,7.2306633,,4.806408321116762e-13,2.904174212155143e-12
CD8 T cells,THEM4,7.2299247,,4.832615356379643e-13,2.9112140701082186e-12
CD8 T cells,RPL7L1,7.2291865,,4.858962682083473e-13,2.918295905155239e-12
CD8 T cells,XPOT,7.2183557,,5.261986427172249e-13,3.150890076151047e-12
CD8 T cells,GYS1,7.2109714,-2.307631,5.55541016776926e-13,3.3166627867279163e-12
CD8 T cells,YTHDC1,7.2098637,2.9487038,5.600787340311713e-13,3.3338019882807815e-12
CD8 T cells,RP11-10K16.1,7.1994023,0.095182166,6.047697254615955e-13,3.589137836567332e-12
CD8 T cells,DEPTOR,7.1906233,1.0116924,6.449621897245472e-13,3.816344317896729e-12
CD8 T cells,IL24,7.187998,,6.574837353514646e-13,3.878960090569112e-12
CD8 T cells,AKAP8,7.1743774,,7.26369103666638e-13,4.272759433333164e-12
CD8 T cells,SERPINE1,7.1738853,-4.911739,7.289872651142995e-13,4.275585132635188e-12
CD8 T cells,GOT2,7.155752,1.9019274,8.32152387480199e-13,4.855103852054009e-12
CD8 T cells,RGS16,7.1509113,,8.620357094073482e-13,5.011835519810164e-12
CD8 T cells,RNF139,7.1461115,,8.927049175933101e-13,5.174034433112905e-12
CD8 T cells,SEC31A,7.1457424,,8.951079569285325e-13,5.174034433112905e-12
CD8 T cells,TCEAL8,7.1310554,,9.960208465362413e-13,5.740754158710325e-12
CD8 T cells,C16orf80,7.118584,,1.090413853661329e-12,6.230936306636166e-12
CD8 T cells,LRRC26,7.1109533,,1.152439321112069e-12,6.566605818302388e-12
CD8 T cells,DNAJB14,7.1020923,,1.2288217233885136e-12,6.981941610162009e-12
CD8 T cells,PNO1,7.100287,,1.2449793885773562e-12,7.053707584007684e-12
CD8 T cells,SF3B1,7.096595,,1.278681174250719e-12,7.224187425145306e-12
CD8 T cells,SNPH,7.083877,-6.3939614,1.4017601047099494e-12,7.897240026534926e-12
CD8 T cells,TIMM22,7.0826054,,1.414689217865819e-12,7.94769223520123e-12
CD8 T cells,PITHD1,7.078954,,1.4524619298297545e-12,8.137041623696104e-12
CD8 T cells,ZFAND4,7.0760007,,1.4837421484847099e-12,8.289062282037485e-12
CD8 T cells,DDB2,7.0571294,,1.6997744951367238e-12,9.465512172330429e-12
CD8 T cells,SMARCC2,7.0568013,,1.7037921910194772e-12,9.465512172330429e-12
CD8 T cells,NR3C1,7.055488,,1.719956344843678e-12,9.52884401575445e-12
CD8 T cells,CHD7,7.0289044,,2.0816154557973874e-12,1.146895567932445e-11
CD8 T cells,SAMD4B,7.0056024,,2.4592532766605985e-12,1.3438542495413107e-11
CD8 T cells,GPR63,6.9958386,0.04426235,2.6367697267328664e-12,1.433027025398297e-11
CD8 T cells,COMMD8,6.990587,,2.737376232047565e-12,1.4836727544973253e-11
CD8 T cells,METTL23,6.98669,,2.8144695770037137e-12,1.521334906488494e-11
CD8 T cells,NFATC1,6.984844,,2.851726745157112e-12,1.5373190000846966e-11
CD8 T cells,RP11-706O15.1,6.9843106,,2.862579678023786e-12,1.5390213322708526e-11
CD8 T cells,TRUB2,6.977788,,2.9986416440466272e-12,1.6078507474780842e-11
CD8 T cells,PNPLA8,6.966219,,3.2557257339993978e-12,1.7410298042777528e-11
CD8 T cells,TBCC,6.9653983,,3.274757978858944e-12,1.74653758872477e-11
CD8 T cells,KRT1,6.954732,,3.5323298430543624e-12,1.8788988526884906e-11
CD8 T cells,TNFRSF17,6.9374194,3.559001,3.993264674091752e-12,2.1072636802595e-11
CD8 T cells,DENND1C,6.9360247,,4.032869573076296e-12,2.1225629331980506e-11
CD8 T cells,BLCAP,6.9355326,,4.046939510281308e-12,2.124377695685726e-11
CD8 T cells,HNRNPH3,6.934056,,4.089438695860105e-12,2.1410673800314686e-11
CD8 T cells,RDH14,6.932989,,4.120404362458169e-12,2.1516471866622292e-11
CD8 T cells,C1orf35,6.930281,,4.200045605365038e-12,2.1875237527942908e-11
CD8 T cells,DPM1,6.9192047,,4.541862402850624e-12,2.3553417235935647e-11
CD8 T cells,PLA2G12A,6.9190817,,4.54580952653558e-12,2.3553417235935647e-11
CD8 T cells,NUDT11,6.914528,1.7769569,4.6942408648631545e-12,2.425964271247108e-11
CD8 T cells,GIT2,6.9105077,,4.8292300167258465e-12,2.48929382305456e-11
CD8 T cells,PTPRN2,6.9090304,,4.879767480040795e-12,2.502444861559382e-11
CD8 T cells,KIF3A,6.9072256,,4.942239899222462e-12,2.527999948451387e-11
CD8 T cells,CTA-29F11.1,6.904846,,5.025789007294507e-12,2.5641780649461767e-11
CD8 T cells,ATP9A,6.8872056,-0.1937367,5.689899550869012e-12,2.8956231811038226e-11
CD8 T cells,R3HDM1,6.8868365,,5.704680544242424e-12,2.8957769260113827e-11
CD8 T cells,RP11-349A22.5,6.8854823,,5.759200200241658e-12,2.9160507342995735e-11
CD8 T cells,LRRC8C,6.884662,,5.792490613707725e-12,2.9255003099533966e-11
CD8 T cells,DSCR9,6.883226,,5.851203244457944e-12,2.947709443051861e-11
CD8 T cells,FKBP5,6.8689084,,6.46949589041983e-12,3.2510029600099647e-11
CD8 T cells,CISD1,6.85336,,7.213512534035197e-12,3.61579575640862e-11
CD8 T cells,ZWINT,6.8520885,,7.277951626426748e-12,3.629901060561969e-11
CD8 T cells,JAKMIP1,6.8467145,,7.556543743389501e-12,3.750145778357073e-11
CD8 T cells,BSDC1,6.8451552,,7.639293821518322e-12,3.7818286245140207e-11
CD8 T cells,IDO1,6.8435555,-1.9681346,7.725144735014897e-12,3.8054900172487177e-11
CD8 T cells,DEGS1,6.8396993,,7.935971643171372e-12,3.899740365194778e-11
CD8 T cells,PPP6C,6.834858,,8.208620754658534e-12,4.018592737530522e-11
CD8 T cells,TCEAL4,6.834694,,8.218022148249917e-12,4.018592737530522e-11
CD8 T cells,NIT2,6.824438,,8.827023759130815e-12,4.295388690574606e-11
CD8 T cells,HMGCL,6.8155766,5.9628778,9.388642673240539e-12,4.546558195273869e-11
CD8 T cells,CLPP,6.814838,,9.436993952318896e-12,4.558934276482559e-11
CD8 T cells,THYN1,6.8108177,,9.704550622837057e-12,4.676891866427498e-11
CD8 T cells,IL23A,6.8074536,1.287107,9.93412373631171e-12,4.76456773923823e-11
CD8 T cells,PDXDC1,6.8029,,1.0253381535689883e-11,4.905924179755925e-11
CD8 T cells,IL27RA,6.80171,,1.0338433848778972e-11,4.934813292973257e-11
CD8 T cells,LPIN1,6.801136,,1.0379740577265766e-11,4.942733608221794e-11
CD8 T cells,ZNF394,6.781772,,1.1871042502487264e-11,5.639450119946444e-11
CD8 T cells,CCDC107,6.7802954,,1.1993034846200941e-11,5.683902770711347e-11
CD8 T cells,OCIAD1,6.7736497,,1.2557369110400755e-11,5.937290359527544e-11
CD8 T cells,TGFBR2,6.7633934,,1.3479661178133433e-11,6.358330744402563e-11
CD8 T cells,SREK1,6.762737,,1.3540895640498177e-11,6.364435106223204e-11
CD8 T cells,CTD-2353F22.1,6.762573,0.01993233,1.3556246776255425e-11,6.364435106223204e-11
CD8 T cells,ODC1,6.761014,,1.370293530748556e-11,6.418236677979185e-11
CD8 T cells,CCT2,6.7585526,,1.3937719608687517e-11,6.512953088171737e-11
CD8 T cells,ARL2BP,6.756501,,1.4136379071660921e-11,6.590386513594835e-11
CD8 T cells,ARPP19,6.7503476,,1.474914377068252e-11,6.860066870084894e-11
CD8 T cells,ICOS,6.7486243,,1.492532974649732e-11,6.925907074940752e-11
CD8 T cells,NECAB3,6.7382865,,1.6026553641078584e-11,7.419700759758603e-11
CD8 T cells,RP11-589C21.6,6.737794,,1.608093167198929e-11,7.427682065583967e-11
CD8 T cells,ZBED5-AS1,6.733035,,1.6615988495356474e-11,7.657137555463813e-11
CD8 T cells,PEX16,6.7182665,,1.838993642416275e-11,8.455143183523103e-11
CD8 T cells,EMB,6.717446,,1.8493748692480448e-11,8.483370959853416e-11
CD8 T cells,ZNF493,6.696605,,2.133166944186934e-11,9.740488329620703e-11
CD8 T cells,PGM2,6.6916003,3.5953007,2.207430548597336e-11,1.0056631200899025e-10
CD8 T cells,USP36,6.68799,,2.2625631322287896e-11,1.0284377873767225e-10
CD8 T cells,URB2,6.685857,,2.29577274667127e-11,1.0411667785357233e-10
CD8 T cells,SLC39A3,6.6800313,,2.3889103615827307e-11,1.080954914743317e-10
CD8 T cells,FNBP4,6.6735497,,2.4968925686548918e-11,1.1272652680157524e-10
CD8 T cells,CCDC91,6.66436,,2.6582110806179166e-11,1.1973923786567192e-10
CD8 T cells,METTL13,6.661324,,2.7137125704928692e-11,1.2196460990979187e-10
CD8 T cells,CHERP,6.636668,,3.208522505498982e-11,1.4387993298201715e-10
CD8 T cells,SURF6,6.627602,,3.411838574454871e-11,1.5231422207387817e-10
CD8 T cells,CRTC2,6.6261253,,3.4461309529327985e-11,1.5350249233553667e-10
CD8 T cells,GARS,6.619151,,3.612678140013425e-11,1.602074563198858e-10
CD8 T cells,ZNF799,6.6178794,,3.643886309574022e-11,1.612339075032753e-10
CD8 T cells,HMG20A,6.615828,,3.694778809994824e-11,1.6312489227350216e-10
CD8 T cells,PRAF2,6.600608,,4.09475404411297e-11,1.8038564070982248e-10
CD8 T cells,RAD21,6.5988846,,4.142620251469654e-11,1.8209319786679795e-10
CD8 T cells,ZNF277,6.597408,,4.18408384315844e-11,1.8351244926133508e-10
CD8 T cells,CWC27,6.595685,,4.232971418752767e-11,1.8525039031740772e-10
CD8 T cells,RBM5,6.585675,,4.528237029433669e-11,1.968798708449421e-10
